"","lon","lat","pin"
"349",-77.5766127,37.551276,"C0010491024"
"350",-77.5871722,37.5549722,"C0010485012"
"351",-77.5354071,37.5554809,"C0040246030"
"352",-77.5127283,37.5442481,"C0040307003"
"353",-77.5193262,37.5263803,"C0050254038"
"354",-77.5195617,37.5181279,"C0050534016"
"355",-77.5394381,37.5560753,"C0040242010"
"356",-77.5586936,37.5506378,"C0010508002"
"357",-77.497912,37.5170722,"C0050691054"
"358",-77.552537,37.5530761,"C0010340018"
"359",-77.5561876,37.5506478,"C0010508016"
"360",-77.5725765,37.5395204,"C0011013003"
"361",-77.547853,37.537944,"C0030146005"
"362",-77.5449917,37.5328489,"C0030221006"
"363",-77.5833667,37.5526406,"C0010486020"
"364",-77.593074,37.5510297,"C0010565012"
"365",-77.5354855,37.5510315,"C0040448040"
"366",-77.4253508,37.5340813,"E0000131007"
"367",-77.5384976,37.5531875,"C0040325036"
"368",-77.4780203,37.4713093,"C0080710010"
"369",-77.4196511,37.530537,"E0000387001"
"370",-77.4158,37.527447,"E0000578006"
"371",-77.4208226,37.5331014,"E0000258017"
"372",-77.510833,37.5201133,"C0050542006"
"373",-77.4311715,37.571241,"N0000895032"
"374",-77.444623,37.571791,"N0000866033"
"375",-77.4228401,37.5820814,"N0001562002"
"376",-77.4599564,37.4971293,"C0090148002"
"377",-77.5178035,37.5030826,"C0051092002"
"378",-77.4801798,37.4780606,"C0080427002"
"379",-77.5314885,37.5895606,"W0210124031"
"380",-77.4333273,37.5520329,"N0000111001"
"381",-77.4477425,37.5833508,"N0001749004"
"382",-77.4080131,37.5376123,"E0000564001"
"383",-77.4478322,37.5842617,"N0001749001"
"384",-77.4448962,37.5743799,"N0001030005"
"385",-77.444813,37.522052,"S0000062015"
"386",-77.407396,37.526127,"E0001288005"
"387",-77.3912174,37.5163591,"E0110225005"
"388",-77.4300888,37.5597706,"N0000377001"
"389",-77.4119465,37.5368934,"E0000431031"
"390",-77.4134257,37.5677155,"N0051082001"
"391",-77.4727866,37.5813352,"N0170599016"
"392",-77.4074341,37.5407399,"E0000715001"
"393",-77.5305711,37.5383215,"C0030086010"
"394",-77.4302817,37.5405258,"E0000207016"
"395",-77.4667912,37.4979658,"C0090088010"
"396",-77.4661753,37.5460663,"W0000847013"
"397",-77.4522024,37.54062,"W0000209027"
"398",-77.4847836,37.551661,"W0001506001"
"399",-77.520098,37.5007499,"C0070124018"
"400",-77.4264632,37.5363158,"N0000822025"
"401",-77.531488,37.5349129,"C0030177060"
"402",-77.5314513,37.5322993,"C0030177056"
"403",-77.5274151,37.5345318,"C0040823063"
"404",-77.4438634,37.5445515,"W0000104012"
"405",-77.4421006,37.5386453,"W0000030007"
"406",-77.4272227,37.5329611,"E0000132025"
"407",-77.408679,37.526356,"E0001118011"
"408",-77.4954926,37.5024587,"C0060619060"
"409",-77.4099084,37.5521668,"E0120230010"
"410",-77.597956,37.535485,"C0011252009"
"411",-77.5272103,37.543414,"C0040537018"
"412",-77.4708022,37.4957097,"C0060231024"
"413",-77.4397824,37.5505793,"N0000155007"
"414",-77.415745,37.552694,"E0120224042"
"415",-77.4449064,37.5643519,"N0000629048"
"416",-77.507385,37.568862,"W0200193055"
"417",-77.4685478,37.5539501,"W0001040042"
"418",-77.4794827,37.5540819,"W0001411026"
"419",-77.4336894,37.5364553,"E0000082037"
"420",-77.461388,37.5513883,"W0000732054"
"421",-77.4183959,37.5330754,"E0000337027"
"422",-77.4722809,37.5513111,"W0001069048"
"423",-77.4732415,37.5556485,"W0001204060"
"424",-77.4621954,37.547646,"W0000658001"
"425",-77.4656001,37.5487768,"W0000851004"
"426",-77.440287,37.541073,"W0000023021"
"427",-77.4784589,37.5522804,"W0001281005"
"428",-77.4724026,37.5531479,"W0001120027"
"429",-77.4874497,37.5204824,"S0060345020"
"430",-77.4851085,37.5544931,"W0001591028"
"431",-77.4792546,37.5528644,"W0001358026"
"432",-77.453752,37.548654,"W0000403019"
"433",-77.456581,37.553986,"W0000736033"
"434",-77.4538599,37.5517436,"W0000482026"
"435",-77.4532459,37.548491,"W0000403011"
"436",-77.45346,37.546508,"W0000349010"
"437",-77.450107,37.5485614,"W0000356025"
"438",-77.452619,37.551036,"W0000480051"
"439",-77.452819,37.5490244,"W0000403008"
"440",-77.470718,37.463566,"C0080878052"
"441",-77.597956,37.535485,"C0011252013"
"442",-77.407997,37.532095,"E0000806022"
"443",-77.4720458,37.5523536,"W0001119009"
"444",-77.461349,37.556337,"W0000911031"
"445",-77.4822217,37.5590649,"W0000818035"
"446",-77.5122377,37.5291778,"C0050227010"
"447",-77.5164275,37.5257797,"C0050292014"
"448",-77.5880228,37.5451001,"C0010914020"
"449",-77.5500524,37.5481487,"C0020142018"
"450",-77.545164,37.5549409,"C0020082020"
"451",-77.5492463,37.5466689,"C0020143030"
"452",-77.5497837,37.5518916,"C0010427010"
"453",-77.5865566,37.5497104,"C0010700024"
"454",-77.4132393,37.5332184,"E0000480013"
"455",-77.4132901,37.5408146,"E0000558020"
"456",-77.4207949,37.5329908,"E0000258016"
"457",-77.4182,37.539199,"E0000372002"
"458",-77.4238152,37.5351558,"E0000187016"
"459",-77.472809,37.49125,"C0060370025"
"460",-77.4947757,37.5048429,"C0060518011"
"461",-77.4199147,37.5353297,"E0000254015"
"462",-77.4425792,37.5484721,"N0000120004"
"463",-77.4509072,37.5525849,"N0000466030"
"464",-77.4189143,37.5287547,"E0000440008"
"465",-77.4422037,37.5482251,"N0000120011"
"466",-77.4191189,37.5301712,"E0000387010"
"467",-77.4407616,37.5473298,"N0000077008"
"468",-77.4276372,37.5748972,"N0001044031"
"469",-77.4507763,37.5599916,"E0000087033"
"470",-77.4248688,37.5314981,"E0000191023"
"471",-77.428556,37.533135,"E0000109002"
"472",-77.4411147,37.5453582,"N0000076037"
"473",-77.4476036,37.5479324,"W0000259029"
"474",-77.4471038,37.5469883,"W0000214004"
"475",-77.4538532,37.5504318,"W0000470020"
"476",-77.4626592,37.5556846,"W0000953029"
"477",-77.4183679,37.534753,"E0000295042B"
"478",-77.4254851,37.5635081,"N0000650032B"
"479",-77.4675871,37.5483074,"W0000896002B"
"480",-77.46948,37.549422,"W0000994026B"
"481",-77.4181459,37.534749,"E0000295044B"
"482",-77.4152485,37.5416852,"E0000514001B"
"483",-77.4262026,37.5620005,"N0000454057B"
"484",-77.467469,37.548179,"W0000896004B"
"485",-77.5406474,37.5550977,"C0040322018"
"486",-77.4457089,37.548679,"N0000206029"
